,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15
0.209,-31.58808413,-5.380749418,-2.648804482,-1.004231697,-0.50247901,-0.580375523,-0.429912547,-0.333082037,-0.250158196,-0.239145988,-0.214210242,-0.173190452,-0.161089945,-0.166905375,-0.142883517
0.213,-30.615624,-5.273352631,-2.640138951,-0.994960088,-0.50006035,-0.5773554,-0.417861933,-0.329070446,-0.247509976,-0.23633543,-0.213984235,-0.169540276,-0.154083239,-0.163756477,-0.139197909
0.217,-30.41002171,-5.120983645,-2.632180963,-0.979640657,-0.485061938,-0.57553071,-0.404508845,-0.325324528,-0.24512521,-0.231716401,-0.213614574,-0.162435428,-0.150219621,-0.162977671,-0.138704608
0.221,-28.19551145,-4.980151902,-2.623273723,-0.975651589,-0.481333088,-0.558304042,-0.399370528,-0.313516858,-0.241713772,-0.226415474,-0.208147015,-0.159837242,-0.148392949,-0.162786,-0.136084934
0.226,-28.13436762,-4.868637665,-2.437163728,-0.967688981,-0.460365663,-0.546652632,-0.397156264,-0.309121604,-0.225436498,-0.216784008,-0.198591347,-0.154505924,-0.144323104,-0.158489926,-0.134559388
0.230,-28.04284388,-4.80720684,-2.429951243,-0.924603885,-0.454615398,-0.537570141,-0.393352268,-0.297470172,-0.217740097,-0.213915927,-0.188200206,-0.151006923,-0.143646862,-0.158039941,-0.13059549
0.234,-27.8623556,-4.763438214,-2.385374555,-0.898771502,-0.448144218,-0.521730362,-0.392189805,-0.278636317,-0.214216031,-0.21035315,-0.181432487,-0.142855325,-0.14265523,-0.14631423,-0.129523159
0.238,-27.77943682,-4.614259402,-2.300490313,-0.890408015,-0.447151807,-0.516646164,-0.384323493,-0.278180449,-0.210548314,-0.207859504,-0.174445136,-0.141366698,-0.141840185,-0.144568982,-0.12466726
0.243,-27.60037717,-4.605365447,-2.223909237,-0.889330183,-0.445565007,-0.512177441,-0.380090403,-0.274039778,-0.201074523,-0.206791395,-0.170100108,-0.136157805,-0.141110226,-0.13507336,-0.124645987
0.247,-27.32702721,-4.591232489,-2.198312308,-0.889183605,-0.438851233,-0.506038901,-0.378991765,-0.254237004,-0.199016688,-0.206258241,-0.165614822,-0.13454552,-0.126783041,-0.13459588,-0.122521838
0.251,-27.20765337,-4.561568385,-2.135182659,-0.866699546,-0.431252175,-0.504570898,-0.377808628,-0.249820595,-0.196554325,-0.199537475,-0.164520801,-0.134113095,-0.125519558,-0.129269248,-0.121797128
0.255,-24.93747412,-4.502463366,-2.121769835,-0.863460037,-0.418973443,-0.498861278,-0.37183129,-0.242321062,-0.194913278,-0.197218372,-0.161428548,-0.133009126,-0.119097669,-0.125551993,-0.117264491
0.260,-24.58714186,-4.444280677,-2.106183405,-0.862343436,-0.412347276,-0.47333438,-0.37080669,-0.229050245,-0.180253411,-0.195915802,-0.160116406,-0.132201381,-0.115273085,-0.119931091,-0.115495137
0.264,-24.56055154,-4.422102498,-2.098976135,-0.857440834,-0.403250436,-0.464292982,-0.366136999,-0.223408325,-0.177579262,-0.194561456,-0.159882896,-0.132018917,-0.1152203,-0.112702848,-0.112451427
0.268,-24.416842,-4.255554555,-2.05971627,-0.853565793,-0.3769719,-0.447515926,-0.35696272,-0.218280982,-0.175259473,-0.191508067,-0.155425826,-0.122886418,-0.11521183,-0.094726429,-0.111815847
0.272,-23.81383619,-4.200640789,-2.047806647,-0.849957655,-0.375133788,-0.433406066,-0.344887933,-0.216176597,-0.173652691,-0.18439239,-0.148096196,-0.122073422,-0.106456743,-0.093533112,-0.108254832
0.277,-21.84463703,-4.144548374,-2.043923733,-0.841632861,-0.368401712,-0.426333229,-0.342472057,-0.214342737,-0.171722979,-0.184198068,-0.145820543,-0.12130996,-0.104841647,-0.092015652,-0.10686165
0.281,-21.04701401,-4.036212489,-2.001258828,-0.813707965,-0.363532674,-0.386744188,-0.337724015,-0.211464387,-0.157927198,-0.178094674,-0.144629158,-0.111548882,-0.100102766,-0.090164363,-0.101603264
0.285,-21.03659389,-3.962899406,-1.991682059,-0.803670929,-0.36239409,-0.386088277,-0.336170382,-0.209492782,-0.143094825,-0.154230479,-0.136349412,-0.109853884,-0.099118775,-0.08915123,-0.098883763
0.289,-20.79865306,-3.929620952,-1.936988787,-0.793972946,-0.356680339,-0.36890865,-0.330641548,-0.194753329,-0.138499487,-0.151016158,-0.135958617,-0.108448036,-0.098049725,-0.087886176,-0.097675895
0.294,-20.54323611,-3.908977089,-1.877326829,-0.767197681,-0.343882748,-0.362277543,-0.323408023,-0.191198671,-0.137450193,-0.150565885,-0.131514968,-0.10435687,-0.092565043,-0.08335591,-0.097637418
